Wave,Leisuretime,Stateofhealth,Satisfactionwithlife,Numberofchildren,Democracy,Educationattained,Scaleofincome,Socialclass,Country
4,1.55,2.41,6.92,2.43,2.86,4.88,6.1,3.08,Argentina
4,1.65,2.33,6.45,2.33,2.45,5.45,3.14,3.12,Chile
4,1.37,2.41,7.73,2.8,2.47,5.04,2.14,2.51,Mexico
4,2.43,2.61,5.8,2.22,2.65,5.35,2.2,3.53,Peru
4,1.45,4,7.94,1.35,2.41,6.55,5.61,2.33,Sweden 
4,1.96,2.12,6.65,1.51,2.29,4.25,2.45,3.45,Spain
4,1.94,2.18,5.47,1.94,1.98,4.65,3,3.69,South Africa
4,2.41,2.45,5.67,1.75,1.53,6.06,6.84,3.45,China
4,2.26,2.18,5.1,2.89,2.11,4.57,3.64,3.33,India
4,1.61,2.22,6.16,1.69,2.29,6.96,4.88,2.73,Japan 
4,1.73,2.04,6.02,1.49,4,5.86,4.33,2.88,Turkey
4,1.57,1.73,7.65,1.8,2.2,6.78,4.96,3,USA
5,1.67,1.9,7.24,1.35,9.24,6.27,5.02,2.18,Argentina
5,1.82,2.24,7.36,1.76,8.22,5.16,4.42,3.26,Chile
5,1.57,2.61,6.25,2.86,7.59,3.08,1.9,3.94,Mexico
5,2.04,2.45,7.59,1.47,8.51,5.51,2.8,3.02,Peru
5,1.88,2.08,7.06,2.2,7.88,4.29,4.75,3.71,Brazil
5,1.57,1.67,8.08,1.76,9.51,7.24,6.78,2.08,Sweden
5,1.75,2.12,6.86,1.31,8.2,4.57,4.71,3.45,Spain
5,1.88,2.02,7.27,1.18,9.31,4.88,4.04,2.43,Germany
5,1.46,2.07,7.15,0.89,8.61,6.26,4.35,2.76,Poland
5,1.76,1.84,6.78,1.29,8.9,5.94,4.88,3.33,South Africa
5,2.3,1.98,6.54,0.78,5.7,5.72,2.06,1.94,China
5,1.37,2.16,5.75,1.35,8.14,8.18,4.84,3.08,India
5,1.57,2.2,6.61,1.57,7,6.27,3.8,3.22,Japan
5,1.71,2.33,7.29,2.4,8.42,4.29,2.5,2.85,Turkey
5,1.65,2.02,7.12,3.98,8.02,5.18,4.04,2.55,USA
5,1.37,1.92,7.45,1.9,9.24,6.73,5.2,2.59,Australia
6,1.82,2.18,7.24,1.4,8.94,6.56,5.56,3.12,Argentina
6,1.44,2.17,7.06,1.83,8.1,5.67,4.38,3.06,Chile
6,1.59,2.25,8.37,2.73,8.14,4.96,4.18,3.45,Mexico
6,1.67,2.33,7.55,2.06,8.51,5.98,5.29,3.04,Peru
6,1.98,2.12,8.04,1.8,7.96,5.43,4.29,3.8,Brazil
6,1.67,1.9,7.76,1.78,9.63,7.37,5.49,2.55,Sweden
6,1.78,2.12,6.69,1.16,9.12,4.94,4.71,3.25,Spain
6,1.49,2.29,6.86,1.39,9.18,5.02,4.86,3.16,Germany
6,1.78,2.29,7.12,2.04,8.63,5.71,3.86,2.88,Poland
6,1.61,1.75,7.25,1.67,8.43,8.25,5.53,2.57,US
6,2.16,1.82,5.55,1.71,6.84,4.31,4.76,3,India
6,1.59,1.9,7.31,1.22,7.2,6.61,4.88,2.57,China
6,1.71,2.22,7.14,1.37,7.92,7.14,3.59,2.86,Japan
6,1.39,1.86,7.18,1.59,8.8,3.51,4.96,3.12,Austraila
6,1.82,1.49,7.94,1.73,7.45,6.14,5.82,3.16,South Africa
6,1.57,2.02,7.63,1.51,8.82,6.43,5.51,2.63,Turkey
